ID_hecho,FECHA,AAAA,MM,DD,ROL,VICTIMA,SEXO,EDAD,FECHA_FALLECIMIENTO,ID,N_VICTIMAS,HH,TIPO_DE_CALLE,Dirección Normalizada,COMUNA,pos x,pos y,PARTICIPANTES,ACUSADO,UBICACION
2016-0147,2016-11-16,2016,11,16,PASAJERO_ACOMPAÑANTE,MOVIL,MASCULINO,55,2016-11-16 00:00:00,2016-0147,1,21,AVENIDA,"INDEPENDENCIA AV. y CEVALLOS, VIRREY",1,-58.38896772,-34.61799615,MOVIL-PASAJEROS,PASAJEROS,1.0
2016-0150,2016-11-18,2016,11,18,PASAJERO_ACOMPAÑANTE,CARGAS,MASCULINO,41,2016-11-18 00:00:00,2016-0150,1,18,AVENIDA,"ALCORTA, AMANCIO AV. y TABORDA, DIOGENES",4,-58.40879146,-34.65273216,CARGAS-CARGAS,CARGAS,1.0
2016-0152,2016-11-23,2016,11,23,CONDUCTOR,MOTO,MASCULINO,42,2016-11-24 00:00:00,2016-0152,1,21,AVENIDA,"MORENO, PERITO AV. y ZUVIRIA",7,-58.46451841,-34.64991946,MOTO-AUTO,AUTO,1.0
2016-0153,2016-11-25,2016,11,25,PEATON,PEATON,FEMENINO,83,2016-11-25 00:00:00,2016-0153,1,15,AVENIDA,ARAOZ y CORDOBA AV.,15,-58.42917090,-34.59485488,PEATON-MOTO,MOTO,1.0
2016-0154,2016-11-26,2016,11,26,CONDUCTOR,MOTO,MASCULINO,38,SD,2016-0154,1,14,GRAL PAZ,"PAZ, GRAL. AV. 15200",8,-58.49007772,-34.68251141,MOTO-MOTO,MOTO,0.0
2016-0155,2016-11-26,2016,11,26,PEATON,PEATON,FEMENINO,29,SD,2016-0155,1,16,CALLE,MADERO 900,10,-58.52756365,-34.62772274,PEATON-AUTO,AUTO,0.0
2016-0156,2016-11-26,2016,11,26,CONDUCTOR,MOTO,MASCULINO,23,2016-11-30 00:00:00,2016-0156,1,19,AVENIDA,INDEPENDENCIA AV. y DEAN FUNES,3,-58.40638983,-34.61943202,MOTO-PASAJEROS,PASAJEROS,1.0
2016-0157,2016-12-03,2016,12,3,CONDUCTOR,MOTO,MASCULINO,23,SD,2016-0157,1,6,AVENIDA,"JUSTO, JUAN B. AV. 5645",11,-58.47576807,-34.61740997,MOTO-MOTO,MOTO,0.0
2016-0159,2016-12-04,2016,12,4,CONDUCTOR,AUTO,MASCULINO,23,SD,2016-0159,1,7,AVENIDA,27 DE FEBRERO AV. y ESCALADA AV.,8,-58.44451316,-34.68475866,AUTO-SD,SD,1.0
2016-0160,2016-12-06,2016,12,6,CONDUCTOR,CARGAS,MASCULINO,29,2016-12-06 00:00:00,2016-0160,1,5,AUTOPISTA,AUTOPISTA PERITO MORENO (ALTURA VELEZ SARSFIELD),9,-58.51927194,-34.63635787,CARGAS-OBJETO FIJO,OBJETO FIJO,
2016-0161,2016-12-06,2016,12,6,PEATON,PEATON,MASCULINO,50,2016-12-06 00:00:00,2016-0161,1,7,AVENIDA,SANTA FE AV. y GODOY CRUZ,14,-58.42525456,-34.57866344,PEATON-PASAJEROS,PASAJEROS,1.0
