ID_hecho,FECHA,AAAA,MM,DD,ROL,VICTIMA,SEXO,EDAD,FECHA_FALLECIMIENTO,ID,N_VICTIMAS,HH,TIPO_DE_CALLE,Dirección Normalizada,COMUNA,pos x,pos y,PARTICIPANTES,ACUSADO,UBICACION
2017-0067,2017-05-23,2017,5,23,CONDUCTOR,MOTO,MASCULINO,21,2017-05-23 00:00:00,2017-0067,1,2,AVENIDA,"DIRECTORIO AV. y MORENO, JOSE MARIA AV.",6,-58.43381970,-34.62801894,MOTO-CARGAS,CARGAS,1.0
2017-0068,2017-05-27,2017,5,27,CONDUCTOR,MOTO,MASCULINO,32,2017-05-27 00:00:00,2017-0068,1,19,AVENIDA,"RABANAL, FRANCISCO, INTENDENTE AV. 2950",8,-58.43580656,-34.66437532,MOTO-OBJETO FIJO,OBJETO FIJO,0.0
2017-0070,2017-05-30,2017,5,30,PEATON,PEATON,MASCULINO,80,2017-05-31 00:00:00,2017-0070,1,13,CALLE,NUEVA YORK 3696,11,-58.50791763,-34.59804273,PEATON-AUTO,AUTO,0.0
2017-0072,2017-06-03,2017,6,3,CONDUCTOR,AUTO,MASCULINO,25,2017-06-03 00:00:00,2017-0072,1,23,AVENIDA,DE LOS CONSTITUYENTES AV. y VALLEJOS,12,-58.49175088,-34.58226957,AUTO-AUTO,AUTO,1.0
2017-0073,2017-06-04,2017,6,4,CONDUCTOR,MOTO,MASCULINO,19,2017-06-04 00:00:00,2017-0073,1,9,AVENIDA,CORRIENTES AV. y ECUADOR,3,-58.40781467,-34.60425669,MOTO-AUTO,AUTO,1.0
2017-0074,2017-06-04,2017,6,4,SD,SD,MASCULINO,70,2017-06-04 00:00:00,2017-0074,1,12,CALLE,CASCO 133,9,-58.52567073,-34.63787791,SD-SD,SD,0.0
2017-0075,2017-06-12,2017,6,12,PEATON,PEATON,MASCULINO,55,2017-06-12 00:00:00,2017-0075,1,22,AVENIDA,DE MAYO AV. y 9 DE JULIO AV.,1,-58.38154200,-34.60906385,PEATON-MOTO,MOTO,1.0
2017-0076,2017-06-13,2017,6,13,PEATON,PEATON,FEMENINO,30,2017-06-13 00:00:00,2017-0076,1,14,AVENIDA,"CASTILLO, RAMON S., PRES. AV. y CALLE 12 (NO OFICIAL)",2,-58.38526125,-34.57805810,PEATON-CARGAS,CARGAS,1.0
2017-0077,2017-06-17,2017,6,17,CONDUCTOR,MOTO,FEMENINO,60,2017-06-18 00:00:00,2017-0077,1,23,CALLE,FRAY JUSTO SANTAMARIA DE ORO 1930,14,-58.42934104,-34.58451712,MOTO-CARGAS,CARGAS,0.0
2017-0079,2017-06-19,2017,6,19,CONDUCTOR,MOTO,MASCULINO,33,2017-06-19 00:00:00,2017-0079,1,16,CALLE,MEXICO y DEAN FUNES,3,-58.40657493,-34.61781124,MOTO-CARGAS,CARGAS,1.0
2017-0080,2017-06-22,2017,6,22,PEATON,PEATON,FEMENINO,95,2017-06-22 00:00:00,2017-0080,1,10,AVENIDA,"ALBERDI, JUAN BAUTISTA AV. y ESCALADA AV.",9,-58.49525314,-34.64487785,PEATON-CARGAS,CARGAS,1.0
2017-0082,2017-06-25,2017,6,25,PEATON,PEATON,MASCULINO,36,2017-06-25 00:00:00,2017-0082,1,22,AVENIDA,ENTRE RIOS AV. y BRASIL,4,-58.39092851,-34.62932696,PEATON-AUTO,AUTO,1.0
2017-0083,2017-07-04,2017,7,4,CONDUCTOR,MOTO,MASCULINO,37,2017-07-04 00:00:00,2017-0083,1,0,AVENIDA,"ALBERDI, JUAN BAUTISTA AV. y GUARDIA NACIONAL",9,-58.49603546,-34.64564271,MOTO-CARGAS,CARGAS,1.0
2017-0084,2017-07-05,2017,7,5,PEATON,PEATON,FEMENINO,73,2017-07-05 00:00:00,2017-0084,1,12,AVENIDA,DEL LIBERTADOR AV. y RODRIGUEZ PEÃ‘A,2,-58.38502878,-34.58703485,PEATON-PASAJEROS,PASAJEROS,1.0
2017-0085,2017-07-07,2017,7,7,PEATON,PEATON,MASCULINO,84,2017-07-07 00:00:00,2017-0085,1,14,AVENIDA,"TACUARI y GARCIA, MARTIN AV.",4,-58.37261143,-34.63150425,PEATON-PASAJEROS,PASAJEROS,1.0
2017-0086,2017-07-09,2017,7,9,PEATON,PEATON,FEMENINO,30,2017-07-09 00:00:00,2017-0086,1,7,AVENIDA,RIVADAVIA AV. y MURGUIONDO,9,-58.51876802,-34.63905965,PEATON-MOTO,MOTO,1.0
2017-0087,2017-07-10,2017,7,10,PEATON,PEATON,FEMENINO,73,2017-07-10 00:00:00,2017-0087,1,10,CALLE,24 DE NOVIEMBRE 390,3,-58.41095567,-34.61516101,PEATON-AUTO,AUTO,0.0
2017-0088,2017-07-10,2017,7,10,PEATON,PEATON,MASCULINO,43,2017-07-10 00:00:00,2017-0088,1,22,AVENIDA,PASEO COLON AV. y BRASIL AV.,1,-58.36797542,-34.62519403,PEATON-PASAJEROS,PASAJEROS,1.0
2017-0089,2017-07-13,2017,7,13,SD,SD,MASCULINO,23,SD,2017-0089,1,12,CALLE,"LEGUIZAMON, MARTINIANO 901",9,-58.51514709,-34.64787051,SD-AUTO,AUTO,0.0
2017-0090,2017-07-15,2017,7,15,PEATON,PEATON,MASCULINO,22,2017-07-15 00:00:00,2017-0090,1,5,GRAL PAZ,"CHIVILCOY AV. y PAZ, GRAL. AV.",11,-58.51925642,-34.59171721,PEATON-AUTO,AUTO,1.0
2017-0091,2017-07-15,2017,7,15,CONDUCTOR,MOTO,MASCULINO,58,2017-07-15 00:00:00,2017-0091,1,13,GRAL PAZ,"SUPERI y PAZ, GRAL. AV.",12,-58.48671535,-34.54321216,MOTO-SD,SD,1.0
2017-0092,2017-07-24,2017,7,24,PEATON,PEATON,MASCULINO,66,2017-07-24 00:00:00,2017-0092,1,22,AUTOPISTA,AUTOPISTA 25 DE MAYO y AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,1,-58.38268809,-34.62282019,PEATON-AUTO,AUTO,1.0
2017-0094,2017-07-27,2017,7,27,CICLISTA,BICICLETA,FEMENINO,56,2017-07-27 00:00:00,2017-0094,1,8,CALLE,"HUGO, VICTOR 2639",10,-58.52640838,-34.61765855,BICICLETA-CARGAS,CARGAS,0.0
2017-0095,2017-08-06,2017,8,6,CONDUCTOR,MOTO,MASCULINO,36,2017-08-06 00:00:00,2017-0095,1,8,AVENIDA,"CORDOBA AV. y SALGUERO, JERONIMO",14,-58.41894306,-34.59778875,MOTO-AUTO,AUTO,1.0
2017-0096,2017-08-07,2017,8,7,PEATON,PEATON,MASCULINO,87,2017-08-07 00:00:00,2017-0096,1,19,AVENIDA,CABILDO AV. y NUÃ‘EZ,13,-58.46756026,-34.54972741,PEATON-PASAJEROS,PASAJEROS,1.0
2017-0098,2017-08-08,2017,8,8,PEATON,PEATON,FEMENINO,61,2017-08-08 00:00:00,2017-0098,1,12,CALLE,"BONIFACIO, JOSE 2114",7,-58.45715752,-34.63132912,PEATON-AUTO,AUTO,0.0
2017-0099,2017-08-17,2017,8,17,CICLISTA,BICICLETA,MASCULINO,28,2017-08-17 00:00:00,2017-0099,1,19,AVENIDA,"FIGUEROA ALCORTA, PRES. AV. 5400",14,-58.42406784,-34.56213916,BICICLETA-AUTO,AUTO,0.0
2017-0100,2017-08-21,2017,8,21,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,16,2017-08-21 00:00:00,2017-0100,1,7,CALLE,REPUBLICA BOLIVARIANA DE VENEZUELA 2135,3,-58.39674470,-34.61512051,MOTO-OBJETO FIJO,OBJETO FIJO,0.0
2017-0101,2017-08-23,2017,8,23,PEATON,PEATON,FEMENINO,61,2017-08-23 00:00:00,2017-0101,1,10,AVENIDA,"LACROZE, FEDERICO AV. y ZAPATA",13,-58.44537508,-34.57084818,MULTIPLE,MULTIPLE,1.0
2017-0102,2017-08-24,2017,8,24,PEATON,PEATON,MASCULINO,46,2017-08-24 00:00:00,2017-0102,1,1,AVENIDA,"IRIARTE, GRAL. AV. y ZAVALETA",4,-58.40056767,-34.65107080,PEATON-CARGAS,CARGAS,1.0
2017-0104,2017-08-25,2017,8,25,PEATON,PEATON,FEMENINO,18,2017-08-25 00:00:00,2017-0104,1,9,AVENIDA,9 DE JULIO AV. y ESTADOS UNIDOS,1,-58.38109568,-34.61853244,PEATON-CARGAS,CARGAS,1.0
2017-0106,2017-08-31,2017,8,31,PEATON,PEATON,FEMENINO,85,2017-08-31 00:00:00,2017-0106,1,19,CALLE,FRAY JUSTO SANTAMARIA DE ORO y GUEMES,14,-58.42533612,-34.58035258,PEATON-PASAJEROS,PASAJEROS,1.0
2017-0107,2017-09-01,2017,9,1,CONDUCTOR,MOTO,MASCULINO,41,2017-09-01 00:00:00,2017-0107,1,11,AVENIDA,DEL LIBERTADOR AV. y JARAMILLO,13,-58.46062311,-34.54395182,MOTO-CARGAS,CARGAS,1.0
2017-0109,2017-09-04,2017,9,4,CONDUCTOR,MOTO,MASCULINO,21,2017-09-05 00:00:00,2017-0109,1,21,AVENIDA,DIRECTORIO AV. y PORTELA,7,-58.47130269,-34.63665402,MOTO-AUTO,AUTO,1.0
2017-0110,2017-09-06,2017,9,6,PEATON,PEATON,MASCULINO,56,2017-09-07 00:00:00,2017-0110,1,14,AVENIDA,"LAVALLE y ALEM, LEANDRO N. AV.",1,-58.37048800,-34.60189492,PEATON-PASAJEROS,PASAJEROS,1.0
2017-0111,2017-09-07,2017,9,7,PEATON,PEATON,FEMENINO,79,2017-09-07 00:00:00,2017-0111,1,18,CALLE,USPALLATA y PIROVANO,4,-58.42023854,-34.64234110,PEATON-CARGAS,CARGAS,1.0
2017-0112,2017-09-10,2017,9,10,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,1,SD,2017-0112,2,9,AUTOPISTA,AUTOPISTA 25 DE MAYO y VARELA AV.,7,-58.45807401,-34.63997430,AUTO-OBJETO FIJO,OBJETO FIJO,
2017-0113,2017-09-11,2017,9,11,PEATON,PEATON,FEMENINO,76,2017-09-11 00:00:00,2017-0113,1,6,AVENIDA,SANTA FE AV. y MAIPU,1,-58.37697717,-34.59573848,PEATON-PASAJEROS,PASAJEROS,1.0
2017-0114,2017-09-15,2017,9,15,CONDUCTOR,AUTO,MASCULINO,26,2017-09-15 00:00:00,2017-0114,1,2,AVENIDA,ALVEAR AV. y DEL LIBERTADOR AV.,2,-58.39100580,-34.58498660,AUTO-OBJETO FIJO,OBJETO FIJO,1.0
2017-0115,2017-09-19,2017,9,19,CONDUCTOR,MOTO,MASCULINO,34,SD,2017-0115,1,18,AVENIDA,PAVON AV. y TREINTA Y TRES ORIENTALES,5,-58.42182126,-34.63089661,MOTO-BICICLETA,BICICLETA,1.0
2017-0116,2017-09-20,2017,9,20,CONDUCTOR,MOTO,MASCULINO,22,2017-09-20 00:00:00,2017-0116,1,22,GRAL PAZ,"PAZ, GRAL. AV. 5750",12,-58.51389422,-34.58075791,MOTO-OBJETO FIJO,OBJETO FIJO,0.0
2017-0118,2017-09-22,2017,9,22,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,26,2017-09-29 00:00:00,2017-0118,1,7,AVENIDA,"VIEYTES y CRUZ, OSVALDO AV.",4,-58.37585415,-34.65232158,MOTO-AUTO,AUTO,1.0
2017-0120,2017-10-02,2017,10,2,CONDUCTOR,MOTO,MASCULINO,20,2017-10-02 00:00:00,2017-0120,1,15,AUTOPISTA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL. y ESCALADA AV.,9,-58.47297505,-34.66245085,MOTO-CARGAS,CARGAS,1.0
2017-0123,2017-10-10,2017,10,10,PEATON,PEATON,FEMENINO,36,2017-10-10 00:00:00,2017-0123,1,1,AVENIDA,ALBARIÃ‘O y ARGENTINA AV.,8,-58.46855503,-34.67216349,PEATON-AUTO,AUTO,1.0
2017-0124,2017-10-12,2017,10,12,CONDUCTOR,MOTO,MASCULINO,51,2017-10-12 00:00:00,2017-0124,1,14,CALLE,"RAMIREZ DE VELASCO, JUAN 1211",15,-58.44254033,-34.59185043,MOTO-PASAJEROS,PASAJEROS,0.0
2017-0125,2017-10-13,2017,10,13,CONDUCTOR,MOTO,MASCULINO,29,2017-10-13 00:00:00,2017-0125,1,6,AVENIDA,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. y LARRAYA",8,-58.46622247,-34.67926929,MOTO-OBJETO FIJO,OBJETO FIJO,1.0
2017-0126,2017-10-14,2017,10,14,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,39,SD,2017-0126,2,6,AVENIDA,RIESTRA AV. y CAÃ‘ADA DE GOMEZ,8,-58.48003734,-34.68148508,AUTO-OBJETO FIJO,OBJETO FIJO,1.0
2017-0126,2017-10-14,2017,10,14,CONDUCTOR,AUTO,MASCULINO,36,2017-10-14 00:00:00,2017-0126,2,6,AVENIDA,RIESTRA AV. y CAÃ‘ADA DE GOMEZ,8,-58.48003734,-34.68148508,AUTO-OBJETO FIJO,OBJETO FIJO,1.0
2017-0127,2017-10-16,2017,10,16,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,24,2017-10-16 00:00:00,2017-0127,1,7,AVENIDA,GALLO y CORDOBA AV.,2,-58.41192137,-34.59800248,MOTO-MOTO,MOTO,1.0
2017-0128,2017-10-17,2017,10,17,PEATON,PEATON,FEMENINO,60,2017-10-17 00:00:00,2017-0128,1,12,CALLE,"ARANGUREN, JUAN F., DR. 611",6,-58.44034689,-34.61349731,PEATON-PASAJEROS,PASAJEROS,0.0
2017-0129,2017-10-26,2017,10,26,CONDUCTOR,MOTO,MASCULINO,57,2017-10-26 00:00:00,2017-0129,1,19,AUTOPISTA,AUTOPISTA PERITO MORENO y AUTOPISTA 25 DE MAYO,9,-58.47155277,-34.64925746,MOTO-PASAJEROS,PASAJEROS,1.0
2017-0130,2017-10-27,2017,10,27,CONDUCTOR,AUTO,MASCULINO,23,2017-10-27 00:00:00,2017-0130,1,5,AVENIDA,CHORROARIN y SAN MARTIN AV.,15,-58.47883099,-34.59967065,AUTO-CARGAS,CARGAS,1.0
2017-0132,2017-10-30,2017,10,30,CONDUCTOR,MOTO,MASCULINO,23,2017-10-30 00:00:00,2017-0132,1,14,AVENIDA,"COSQUIN y ROCA, CNEL. AV.",8,-58.46552171,-34.69374130,MOTO-PASAJEROS,PASAJEROS,1.0
2017-0134,2017-11-06,2017,11,6,PEATON,PEATON,FEMENINO,47,2017-11-06 00:00:00,2017-0134,1,18,AVENIDA,"ROCA, CNEL. AV. 3555",8,-58.44239720,-34.66777987,PEATON-PASAJEROS,PASAJEROS,0.0
2017-0135,2017-11-07,2017,11,7,CONDUCTOR,MOTO,MASCULINO,24,2017-11-07 00:00:00,2017-0135,1,12,AVENIDA,WARNES AV. y PUNTA ARENAS,15,-58.47032551,-34.59626814,MOTO-CARGAS,CARGAS,1.0
2017-0136,2017-11-16,2017,11,16,PEATON,PEATON,MASCULINO,55,2017-11-16 00:00:00,2017-0136,1,8,AVENIDA,"BARCO CENTENERA DEL y RABANAL, FRANCISCO, INTENDENTE AV.",4,-58.41827843,-34.65522746,PEATON-PASAJEROS,PASAJEROS,1.0
2017-0137,2017-11-17,2017,11,17,PEATON,PEATON,FEMENINO,60,2017-11-17 00:00:00,2017-0137,1,11,AVENIDA,MOSCONI GENERAL AV. y SAN NICOLAS,11,-58.51280715,-34.59279388,PEATON-CARGAS,CARGAS,1.0
2017-0138,2017-11-19,2017,11,19,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,25,2017-11-19 00:00:00,2017-0138,1,10,AVENIDA,"LAFUENTE AV. y PERON, EVA AV.",7,-58.46258582,-34.64385704,MOTO-OBJETO FIJO,OBJETO FIJO,1.0
2017-0139,2017-11-19,2017,11,19,PASAJERO_ACOMPAÑANTE,AUTO,FEMENINO,15,2017-11-19 00:00:00,2017-0139,1,22,AVENIDA,"ROCA, CNEL. AV. y ESCALADA AV.",8,-58.45064148,-34.68003614,AUTO-OBJETO FIJO,OBJETO FIJO,1.0
2017-0140,2017-11-19,2017,11,19,CONDUCTOR,MOTO,MASCULINO,24,2017-11-19 00:00:00,2017-0140,1,23,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,4,.,.,MOTO-PASAJEROS,PASAJEROS,
2017-0141,2017-11-23,2017,11,23,PEATON,PEATON,FEMENINO,22,2017-11-23 00:00:00,2017-0141,1,19,AVENIDA,"LA PLATA AV. y GOYENA, PEDRO AV.",6,-58.42717783,-34.62513374,PEATON-PASAJEROS,PASAJEROS,1.0
2017-0143,2017-11-25,2017,11,25,CONDUCTOR,AUTO,MASCULINO,50,2017-11-25 00:00:00,2017-0143,1,21,CALLE,"TRELLES, MANUEL R. y DIAZ, CESAR, GRAL.",11,-58.46442001,-34.60724519,AUTO-PASAJEROS,PASAJEROS,1.0
2017-0144,2017-11-26,2017,11,26,PASAJERO_ACOMPAÑANTE,AUTO,FEMENINO,50,2017-11-26 00:00:00,2017-0144,1,6,GRAL PAZ,"ROCA, CNEL. AV. y PAZ, GRAL. AV.",8,-58.47064556,-34.69843756,AUTO-OBJETO FIJO,OBJETO FIJO,1.0
2017-0145,2017-11-26,2017,11,26,CONDUCTOR,MOTO,MASCULINO,58,2017-11-26 00:00:00,2017-0145,1,17,CALLE,MAZA y DON BOSCO,5,-58.41677733,-34.61223119,MOTO-AUTO,AUTO,1.0
2017-0147,2017-11-28,2017,11,28,CONDUCTOR,MOTO,MASCULINO,49,2017-11-28 00:00:00,2017-0147,1,11,GRAL PAZ,"PAZ, GRAL. AV. y PERON, EVA AV.",9,-58.50251790,-34.67450313,MOTO-AUTO,AUTO,1.0
2017-0148,2017-11-29,2017,11,29,PEATON,PEATON,FEMENINO,82,2017-11-29 00:00:00,2017-0148,1,10,AVENIDA,SAN JUAN AV. y LA RIOJA,3,-58.40708125,-34.62438894,PEATON-PASAJEROS,PASAJEROS,1.0
2017-0149,2017-11-30,2017,11,30,PEATON,PEATON,MASCULINO,13,2017-11-30 00:00:00,2017-0149,1,12,AVENIDA,PASEO COLON AV. y MEXICO,1,-58.36947198,-34.61477051,PEATON-PASAJEROS,PASAJEROS,1.0
2017-0150,2017-12-04,2017,12,4,PEATON,PEATON,MASCULINO,56,2017-12-04 00:00:00,2017-0150,1,1,AVENIDA,RIVADAVIA AV. y MIRALLA,9,-58.51140889,-34.63934531,PEATON-AUTO,AUTO,1.0
2017-0152,2017-12-06,2017,12,6,CICLISTA,BICICLETA,MASCULINO,19,2017-12-06 00:00:00,2017-0152,1,17,CALLE,CACHI y TRAFUL,4,-58.41146277,-34.65073916,BICICLETA-PASAJEROS,PASAJEROS,1.0
2017-0153,2017-12-11,2017,12,11,CONDUCTOR,MOTO,MASCULINO,30,2017-12-12 00:00:00,2017-0153,2,2,AVENIDA,ROSARIO y LA PLATA AV.,6,-58.42855267,-34.61829385,MOTO-PASAJEROS,PASAJEROS,1.0
2017-0154,2017-12-11,2017,12,11,PEATON,PEATON,MASCULINO,76,2017-12-11 00:00:00,2017-0154,1,9,AVENIDA,ENTRE RIOS AV. y CASEROS AV.,4,-58.39035581,-34.63412287,PEATON-PASAJEROS,PASAJEROS,1.0
2017-0155,2017-12-12,2017,12,12,SD,SD,MASCULINO,77,SD,2017-0155,1,21,AVENIDA,RIVADAVIA AV. 6350,7,-58.45593915,-34.62656868,SD-MOTO,MOTO,0.0
2017-0157,2017-12-17,2017,12,17,CONDUCTOR,AUTO,MASCULINO,53,2017-12-17 00:00:00,2017-0157,1,9,GRAL PAZ,"PAZ, GRAL. AV. y HUMAITA",9,-58.52866211,-34.64597065,AUTO-PASAJEROS,PASAJEROS,1.0
2017-0158,2017-12-18,2017,12,18,CONDUCTOR,MOTO,MASCULINO,32,2017-12-18 00:00:00,2017-0158,1,21,GRAL PAZ,"GUALEGUAYCHU y PAZ, GRAL. AV.",11,-58.52037476,-34.59407024,MOTO-AUTO,AUTO,1.0
2017-0159,2017-12-20,2017,12,20,CONDUCTOR,MOTO,MASCULINO,27,2017-12-20 00:00:00,2017-0159,1,4,AVENIDA,"INDEPENDENCIA AV. y CEVALLOS, VIRREY",1,-58.38896772,-34.61799615,MOTO-AUTO,AUTO,1.0
2017-0160,2017-12-22,2017,12,22,PEATON,PEATON,FEMENINO,30,2017-12-22 00:00:00,2017-0160,1,13,AVENIDA,NAZCA AV. 365,7,-58.47074114,-34.62771756,PEATON-MOTO,MOTO,0.0
2017-0161,2017-12-26,2017,12,26,PEATON,PEATON,FEMENINO,30,2017-12-26 00:00:00,2017-0161,1,15,AVENIDA,"PERON, EVA AV. 5249",9,-58.48200819,-34.65969965,PEATON-AUTO,AUTO,0.0
2018-0001,2018-01-01,2018,1,1,PEATON,PEATON,MASCULINO,83,2018-01-02 00:00:00,2018-0001,1,22,AVENIDA,SAN JUAN AV. y RINCON,3,-58.39536773,-34.62297346,PEATON-MOTO,MOTO,1.0
2018-0002,2018-01-03,2018,1,3,CICLISTA,BICICLETA,FEMENINO,26,2018-01-03 00:00:00,2018-0002,1,16,CALLE,PERU 937,1,-58.37456088,-34.61895467,BICICLETA-PASAJEROS,PASAJEROS,0.0
2018-0003,2018-01-05,2018,1,5,PEATON,PEATON,FEMENINO,58,2018-01-05 00:00:00,2018-0003,1,10,AVENIDA,"PUEYRREDON, HONORIO, DR. AV. y GALICIA",15,-58.44860217,-34.60395657,MULTIPLE,MULTIPLE,1.0
2018-0004,2018-01-09,2018,1,9,CONDUCTOR,MOTO,MASCULINO,39,2018-01-09 00:00:00,2018-0004,1,9,AVENIDA,DEL LIBERTADOR AV. y MANZANARES,13,-58.46129513,-34.54332766,MULTIPLE,MULTIPLE,1.0
2018-0005,2018-01-09,2018,1,9,PEATON,PEATON,MASCULINO,54,2018-01-09 00:00:00,2018-0005,1,22,AVENIDA,PASEO COLON AV. 1019,1,-58.36907201,-34.61953517,PEATON-PASAJEROS,PASAJEROS,0.0
2018-0006,2018-01-10,2018,1,10,CICLISTA,BICICLETA,FEMENINO,45,2018-01-10 00:00:00,2018-0006,1,21,CALLE,VALLE y BARCO CENTENERA DEL,6,-58.44062219,-34.62499107,BICICLETA-PASAJEROS,PASAJEROS,1.0
2018-0007,2018-01-11,2018,1,11,CONDUCTOR,AUTO,MASCULINO,46,2018-01-11 00:00:00,2018-0007,1,2,AUTOPISTA,AUTOPISTA PERITO MORENO KM. 0.6,9,-58.52502765,-34.63601265,AUTO-AUTO,AUTO,
2018-0008,2018-01-12,2018,1,12,CONDUCTOR,MOTO,FEMENINO,32,2018-01-12 00:00:00,2018-0008,1,17,AVENIDA,"HUERGO, ING. AV. e INDEPENDENCIA AV.",1,-58.36659655,-34.61687778,MOTO-CARGAS,CARGAS,1.0
2018-0009,2018-01-14,2018,1,14,CONDUCTOR,MOTO,MASCULINO,19,2018-01-14 00:00:00,2018-0009,1,2,AVENIDA,"PILCOMAYO y BROWN, ALTE. AV.",4,-58.36737389,-34.62763661,MOTO-MOTO,MOTO,1.0
2018-0010,2018-01-18,2018,1,18,CONDUCTOR,MOTO,MASCULINO,40,2018-01-18 00:00:00,2018-0010,1,5,CALLE,"CERVANTES y BELAUSTEGUI, LUIS, DR.",10,-58.49807953,-34.63038658,MOTO-CARGAS,CARGAS,1.0
2018-0011,2018-01-19,2018,1,19,PEATON,PEATON,MASCULINO,84,2018-01-19 00:00:00,2018-0011,1,10,AVENIDA,"CALLAO AV. y LOPEZ, VICENTE",2,-58.39092703,-34.59088447,PEATON-PASAJEROS,PASAJEROS,1.0
2018-0012,2018-01-26,2018,1,26,CONDUCTOR,MOTO,MASCULINO,20,2018-01-26 00:00:00,2018-0012,1,13,CALLE,"OLIDEN y CHILAVERT, MARTINIANO, CORONEL",8,-58.46912006,-34.68049201,MOTO-PASAJEROS,PASAJEROS,1.0
2018-0013,2018-01-28,2018,1,28,CONDUCTOR,MOTO,MASCULINO,44,2018-01-28 00:00:00,2018-0013,1,8,AVENIDA,CONGRESO AV. y GALVAN,12,-58.48661286,-34.56786129,MOTO-AUTO,AUTO,1.0
2018-0015,2018-02-06,2018,2,6,CONDUCTOR,MOTO,MASCULINO,28,2018-02-06 00:00:00,2018-0015,2,1,AVENIDA,AUSTRALIA AV. 2800,4,-58.38636298,-34.64684275,MOTO-PASAJEROS,PASAJEROS,0.0
2018-0015,2018-02-06,2018,2,6,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,19,2018-02-06 00:00:00,2018-0015,2,1,AVENIDA,AUSTRALIA AV. 2800,4,-58.38636298,-34.64684275,MOTO-PASAJEROS,PASAJEROS,0.0
2018-0016,2018-02-15,2018,2,15,CONDUCTOR,MOTO,MASCULINO,31,2018-02-15 00:00:00,2018-0016,1,10,AVENIDA,"DEL LIBERTADOR AV. y RAMOS MEJIA, JOSE MARIA, DR. AV.",1,-58.37533517,-34.59276462,MOTO-CARGAS,CARGAS,1.0
2018-0017,2018-02-17,2018,2,17,PEATON,PEATON,MASCULINO,35,2018-02-20 00:00:00,2018-0017,1,4,AVENIDA,SAN PEDRITO AV. y RIVADAVIA AV.,7,-58.46963952,-34.63070603,PEATON-AUTO,AUTO,1.0
2018-0018,2018-02-17,2018,2,17,CONDUCTOR,MOTO,MASCULINO,26,2018-02-17 00:00:00,2018-0018,1,7,CALLE,"ISABEL LA CATOLICA y SALVADORES, CNEL.",4,-58.37207554,-34.64543658,MOTO-CARGAS,CARGAS,1.0
2018-0019,2018-02-17,2018,2,17,PEATON,PEATON,FEMENINO,80,2018-02-17 00:00:00,2018-0019,1,12,AVENIDA,LAS HERAS GENERAL AV. y CALLAO AV.,2,-58.39189441,-34.59176378,PEATON-PASAJEROS,PASAJEROS,1.0
2018-0020,2018-02-19,2018,2,19,CONDUCTOR,MOTO,MASCULINO,26,2018-02-19 00:00:00,2018-0020,1,22,AUTOPISTA,"FERNANDEZ DE LA CRUZ F., GRAL. AV. y AUTOPISTA PRESIDENTE HECTOR J. CAMPORA",8,-58.45012957,-34.66518343,MOTO-CARGAS,CARGAS,
2018-0021,2018-02-22,2018,2,22,PEATON,PEATON,FEMENINO,62,2018-02-22 00:00:00,2018-0021,1,10,AVENIDA,"ALCORTA, AMANCIO AV. y ZAVALETA",4,-58.40184094,-34.64546845,PEATON-PASAJEROS,PASAJEROS,1.0
2018-0022,2018-02-24,2018,2,24,CONDUCTOR,MOTO,MASCULINO,28,2018-02-24 00:00:00,2018-0022,1,0,AVENIDA,"MONTES DE OCA, MANUEL AV. y OLAVARRIA",4,-58.37441153,-34.63966783,MOTO-CARGAS,CARGAS,1.0
2018-0023,2018-02-24,2018,2,24,CONDUCTOR,MOTO,MASCULINO,28,2018-02-24 00:00:00,2018-0023,1,6,CALLE,BARCO CENTENERA DEL y ROSARIO,6,-58.44110156,-34.62082399,MOTO-AUTO,AUTO,1.0
2018-0024,2018-02-28,2018,2,28,PEATON,PEATON,MASCULINO,70,2018-02-28 00:00:00,2018-0024,1,23,AVENIDA,ALVAREZ THOMAS AV. y DONADO,15,-58.47087351,-34.57827342,PEATON-CARGAS,CARGAS,1.0
2018-0025,2018-03-04,2018,3,4,PEATON,PEATON,MASCULINO,70,2018-03-05 00:00:00,2018-0025,1,22,AVENIDA,AVELLANEDA AV. y BOYACA AV.,7,-58.45962210,-34.62245140,PEATON-AUTO,AUTO,1.0
2018-0026,2018-03-09,2018,3,9,CONDUCTOR,MOVIL,MASCULINO,24,2018-03-09 00:00:00,2018-0026,2,4,AVENIDA,"RABANAL, FRANCISCO, INTENDENTE AV. y SAENZ AV.",4,-58.41657793,-34.65476216,MOVIL-CARGAS,CARGAS,1.0
